year,tag,countryName,population,gdp,rgoUnemploymentRate,factoryUnemploymentRate,rgoWorkforce,factoryWorkforce,continent,gdpPerCapita,totalPercentageOfUnemployed
1993,SUD,Sudan,35622176,42125130000,0.6548408,-13.653982,7806019,340831,Africa,1183,0.1
1993,SUR,Suriname,415320,3429284000,0.6696885,-4.4298005,83173,10926,South America,8257,0.1
1993,SUT,South Tyrol,987848,5203374500,0.22706746,20.34291,198179,25896,Europe,5267,2.5
1993,SVG,St Vincent and Grenadines,107812,71182610,1.4019309,37.92924,22683,1922,North America,660,4.3
1993,SWA,Swaziland,890248,676286300,1.1064228,-2.759135,198839,6705,Africa,760,1
1993,SWE,Sweden,8603860,2.06E+11,0.877857,-4.135564,1607551,300080,Europe,23940,0.1
1993,SWI,Switzerland,6836440,89483580000,0.4125845,25.184116,1308338,185617,Europe,13089,3.5
1993,SYE,South Yemen,0,0,0,0,0,0,Asia,0,0
1993,SYR,Syria,14450480,82576495000,0.8234955,-6.4378204,2825152,280188,Asia,5714,0.2
1993,TAJ,Tajikistan,5353308,13585275000,0.6529796,-11.990815,1178291,53566,Asia,2538,0.1
1993,TAR,Tatarstan,3392768,28203230000,0.1979219,-8.370596,695729,59040,Asia,8313,-0.5
1993,TAT,Trinidad and Tobago,1268836,5046759800,0.05122614,-23.44373,288915,6522,South America,3977,-0.4
1993,TCI,Turks and Caicos Islands,10244,314330.3,0,-61.290325,2222,31,North America,31,-0.8
1993,THI,Thailand,55473204,1.14E+11,0.7299241,54.850727,11922610,689721,Asia,2061,3.7
1993,TKR,Turkestan,3661864,17015817000,1.1821291,-5.061566,760323,66027,Asia,4647,0.7
1993,TNZ,Tanganyika-Zanzibar,26786536,59735290000,1.0054276,-11.36577,5934987,279022,Africa,2230,0.4
1993,TOG,Togo,3820100,7403234000,2.2900236,60.77474,826236,52637,Africa,1938,5.8
1993,TON,Tonga,98144,318267420,1.4660741,-13.397129,21827,836,Oceania,3243,1
1993,TRD,Transnistria,554544,634438400,0.25801253,-6.7499495,116661,9926,Europe,1144,-0.2
1993,TRK,Transkei,1441148,3738093600,0.20992483,-6.481973,292962,33894,Africa,2594,-0.5
1993,TUN,Tunis,8297020,42567770000,0.9738968,-4.3268723,1676461,208326,Africa,5130,0.4
1993,TUR,Ottoman Empire,56672084,4.52E+11,0.32049417,0.5315794,11064164,1523573,Asia,7976,0.3
1993,TUV,Tuvalu,8984,27204505,4.741833,-7.8947363,1898,152,Oceania,3028,3.8
1993,UAE,United Arab Emirates,1852848,17561012000,1.7450061,-4.3585515,332549,53917,Asia,9478,0.8
1993,UGA,Uganda,18206356,21664128000,4.088743,-20.884222,4140612,105132,Africa,1190,3.5
1993,UKR,Ukraine,51409920,81439350000,0.3527282,58.04673,10657498,814499,Europe,1584,4.5
1993,UNT,UN Trust Territory,0,0,0,0,0,0,None,0,0
1993,URU,Uruguay,3095964,39086157000,2.5952117,-4.5387077,599296,99037,South America,12625,1.6
1993,USA,United States of America,251032592,3.58E+12,1.8975215,-4.10649,47378276,8962617,North America,14270,0.9
1993,UZB,Uzbekistan,20665636,75681396000,0.45394352,-2.5694351,4426762,275041,Asia,3662,0.3
1993,VAN,Vanuatu,159548,115563740,2.9781227,14.842682,35425,1462,Oceania,724,3.5
1993,VED,Venda,227992,84329844,0.48733154,64.56283,46375,5181,Africa,370,6.9
1993,VIR,Virgin Islands,17640,2539830,0,36.842106,3851,38,North America,144,0.4
1993,VNZ,Venezuela,19410520,1.67E+11,1.3173054,-3.327641,3624748,713809,South America,8579,0.5
1993,WSA,Western Sahara,23960,0,3.5912998,100,5931,2,Africa,0,3.6
1993,YEM,Yemen,12598904,8252145400,1.8073846,95.536804,2717352,144717,Asia,655,6.5
